"Ticker","Nome","Negócios","Última (R$)","Variação"
"LREN3","Lojas Renner","177.317.900","17,01","-0,23%"
"B3SA3","B3","118.448.500","12,68","+1,12%"
"HAPV3","Hapvida","99.412.000","4,24","-1,17%"
"PETR4","Petrobras","84.400.900","39,37","+0,10%"
"ENEV3","Eneva","82.217.100","13,13","-1,50%"
"EMBR3","Embraer","78.110.600","46,83","+1,06%"
"ITUB4","Itaú Unibanco","61.642.400","36,70","-0,70%"
"AZUL4","Azul","58.842.400","5,39","-2,00%"
"BBDC4","Banco Bradesco","51.220.500","15,64","+0,06%"
"ABEV3","Ambev","50.844.400","12,86","+0,00%"
"ITSA4","Itaúsa","48.620.700","10,94","-0,45%"
"ASAI3","Assaí","46.049.800","9,57","+2,24%"
"COGN3","Cogna","44.660.500","1,37","-2,14%"
"PETZ3","Petz","41.127.900","4,86","-5,81%"
"PETR3","Petrobras","36.947.000","42,94","+0,37%"
"VALE3","Vale","36.649.700","59,58","+0,47%"
"BBAS3","Banco do Brasil","31.760.100","28,12","-0,64%"
"CPLE6","Copel","30.294.600","10,43","-0,19%"
"RDOR3","Rede D'Or","28.515.500","31,93","-1,72%"
"CSAN3","Cosan","26.675.500","13,36","-0,60%"
"STBP3","Santos Brasil","26.406.200","13,00","+1,25%"
"MGLU3","Magazine Luiza","25.024.600","12,16","-5,66%"
"CMIG4","CEMIG","24.957.900","11,63","+0,26%"
"GGBR4","Gerdau","21.651.100","18,30","-0,92%"
"IFCM3","Infracommerce","19.729.600","0,14","-6,67%"
"POMO4","Marcopolo","19.438.600","7,35","+6,06%"
"CXSE3","Caixa Seguridade","18.733.600","16,35","+3,88%"
"ELET3","Eletrobras","18.591.200","41,75","+1,09%"
"RENT3","Localiza","18.482.500","41,37","-0,91%"
"RAIL3","Rumo","17.572.100","21,85","-0,86%"
"WEGE3","WEG","17.131.900","54,15","+1,14%"
"CMIN3","CSN Mineração","16.375.900","5,68","+0,53%"
"VBBR3","Vibra Energia","15.949.800","25,72","+0,51%"
"CVCB3","CVC","14.525.500","1,97","-0,51%"
"CCRO3","Grupo CCR","14.455.400","13,25","+0,23%"
"UGPA3","Ultrapar","14.132.700","23,36","+0,91%"
"TIMS3","TIM","13.880.300","17,86","-0,45%"
"NTCO3","Natura","13.314.800","13,55","-3,35%"
"RAIZ4","Raízen","12.932.500","3,21","+0,00%"
"QUAL3","Qualicorp","12.807.100","2,27","+14,65%"
"EQTL3","Equatorial Energia","12.686.900","34,20","-0,20%"
"RADL3","RaiaDrogasil","12.672.600","27,56","-0,93%"
"JBSS3","JBS","12.040.500","35,00","+0,17%"
"USIM5","Usiminas","11.986.500","6,23","+0,00%"
"FLRY3","Fleury","11.803.500","15,95","+0,06%"
"CSNA3","Siderúrgica Nacional","11.513.100","11,86","-0,59%"
"SUZB3","Suzano","11.323.100","55,00","-0,90%"
"CRFB3","Carrefour Brasil","11.155.500","8,97","-0,11%"
"AMER3","Americanas","10.793.400","5,77","-3,83%"
"RRRP3","3R Petroleum","10.758.400","26,37","-2,33%"
"CPLE3","Copel","10.714.600","9,38","-0,74%"
"AURE3","Auren Energia","10.707.800","11,39","+0,26%"
"BBDC3","Banco Bradesco","10.666.700","14,14","+0,28%"
"HBSA3","Hidrovias do Brasil","10.511.700","3,49","+0,58%"
"DXCO3","Dexco","10.053.700","8,21","+3,01%"
"BEEF3","Minerva","9.868.000","7,49","-0,40%"
"SBSP3","Sabesp","9.847.400","94,73","-0,69%"
"PRIO3","PetroRio","9.824.300","46,84","+0,24%"
"BBSE3","BB Seguridade","9.088.000","36,73","+0,49%"
"BRFS3","BRF","8.844.900","26,23","+1,67%"
"ONCO3","Oncoclínicas","8.636.700","6,66","+4,72%"
"ALOS3","Allos","8.601.900","22,81","-1,17%"
"MRVE3","MRV","8.287.500","7,47","+0,81%"
"PCAR3","Grupo Pão de Açúcar","7.962.100","3,13","-0,32%"
"YDUQ3","YDUQS","7.754.600","9,85","-1,50%"
"GOLL4","GOL","7.385.600","1,08","-2,70%"
"GGPS3","GPS","6.952.300","18,05","+2,09%"
"VAMO3","Grupo Vamos","6.816.700","7,60","-0,78%"
"MLAS3","Multilaser","6.580.100","1,86","-2,11%"
"TOTS3","Totvs","6.487.500","29,97","-1,74%"
"AZEV4","Azevedo & Travassos","6.480.300","1,50","+7,14%"
"VVEO3","Viveo","6.454.400","1,90","-1,55%"
"BHIA3","Casas Bahia","6.381.600","7,44","+8,30%"
"HYPE3","Hypera","6.157.900","28,54","-2,03%"
"ECOR3","EcoRodovias","6.010.400","7,83","+2,62%"
"CYRE3","Cyrela","5.935.300","21,82","-1,76%"
"GOAU4","Metalúrgica Gerdau","5.886.300","10,49","-0,29%"
"BRKM5","Braskem","5.866.300","18,04","+1,69%"
"VIVT3","Vivo","5.797.800","51,83","+0,02%"
"VIVA3","Vivara","5.718.600","26,42","+1,26%"
"MULT3","Multiplan","5.176.500","25,64","+0,23%"
